"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "HTML", "SCSS", "TypeScript JSX", "JavaScript", "Python", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\User.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 72
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadImageSizes.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadSizes.json", "JSON", 0, 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 542
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorColors.json", "JSON", 0, 0, 659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 659
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorImages.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\generative-music__samples-alex-bainter.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorColors.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorImages.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\Images.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.scss", "SCSS", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 20, 37, 199
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 765, 0, 0, 0, 33, 142, 940
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\types.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\FlavorMusic.ts", "TypeScript", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 83, 398
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\Flavors.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 74
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Bitter.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 119
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Salty.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 126
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Savory.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 123
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sour.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 119
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Spicy.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 122
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sweet.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 132
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\FlavorUtils.ts", "TypeScript", 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 92, 446
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.scss", "SCSS", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 1, 24, 153
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 6, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\ResourceSaver.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 150
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\AddCustomFlavorDialog.scss", "SCSS", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 45, 329
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\AddCustomFlavorDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 468, 0, 0, 0, 9, 116, 593
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\addCustomFlavor\CustomFlavorManager.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 62, 245
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\cssImageLoader\CssImageLoader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 21, 128
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.scss", "SCSS", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 21, 108
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 18, 68
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorMenu.scss", "SCSS", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 32, 222
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 14, 79
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\customFlavorMenu\CustomFlavorServerManager.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 127
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialogContext.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\InputDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 10, 87
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\InputDialogContext.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.scss", "SCSS", 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 114, 83, 557
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 26, 88, 467
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 13, 154
